#Plane_2x2
#Card       tzero  t_zero_err      entries
0    -1.70742     0.60743             24276
1    -3.25994     0.37284             32155
2    0.17124     0.50513             28181
3    4.30531     0.84619             22466
4    7.42506     2.21624             12376
