#Plane_1x1
#Card       tzero  t_zero_err      entries
0    -5.61875     0.62782             19431
1    -4.57994     0.50410             32677
2    -1.80020     0.25957             33264
3    2.98827     0.74817             22505
4    6.51847     2.05825             8647
