#Plane_1v1
#Card       tzero  t_zero_err      entries
0    20.50000     0.00000             68
1    -1.46876     1.58204             3445
2    3.33668     1.11582             30268
3    6.05385     1.11076             39243
4    -4.95121     0.48513             29140
5    -2.80441     0.46262             14671
6    2.50000     0.00000             588
