#Plane_1u1
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             72
1    -3.52226     0.42746             21461
2    -0.69773     0.23733             56427
3    0.26692     0.59385             18767
4    2.73783     1.14152             12890
5    2.26517     1.73665             6474
6    20.50000     0.00000             281
