#Plane_2u2
#Card       tzero  t_zero_err      entries
0    -1.27697     0.88587             10061
1    -0.42395     0.53282             56487
2    1.00397     0.26277             110181
3    -7.57837     0.39676             146647
4    11.40608     0.95007             132387
5    9.08323     1.37313             40491
