#Plane_1v1
#Card       tzero  t_zero_err      entries
0    -1.76621     0.85097             6245
1    -1.70220     0.45917             51650
2    6.33124     0.66508             112942
3    7.67835     0.54598             160808
4    5.43019     0.54341             148062
5    -2.44736     0.50944             27867
