#Plane_2x2
#Card       tzero  t_zero_err      entries
0    8.45129     2.30819             12177
1    8.05671     1.03924             63305
2    8.00104     0.88729             76874
3    9.58314     0.89934             91237
4    -0.71837     0.25758             102389
5    -0.75069     0.17086             108114
6    -0.15070     0.33947             45411
