#Plane_2v2
#Card       tzero  t_zero_err      entries
0    9.39979     2.37814             13023
1    8.43012     0.97778             80415
2    9.13770     0.69460             156761
3    10.16152     0.72320             170216
4    2.64185     0.47565             70377
5    -1.46755     0.91909             10170
