#Plane_1u2
#Card       tzero  t_zero_err      entries
0    5.04402     2.23641             7992
1    6.17640     0.77303             78761
2    6.22060     0.52997             164671
3    6.12991     0.46425             180772
4    -2.27030     0.33767             68640
5    -4.05720     1.00716             7229
