#Plane_1x2
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             1820
1    -2.32581     0.29777             62988
2    -4.91570     0.29437             83897
3    -1.78705     0.22987             102762
4    5.59676     0.72379             114617
5    5.33765     0.58118             113536
6    6.97243     1.15961             27992
